Report generated on: 05-30-2026 14:38:45
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"INTL.4415-2-ALB-QBTU.A","        Petroleum and other liquids (quad Btu)","0.09929727737859491","0.0947204962399349","0.09256775768747862","0.0947204962399349","0.09282136798251281","0.09041501913652979","0.0824498865","0.072966858","0.068141514","0.058063178","0.0430141623","0.038544189581","0.0437916634908","0.035639667771","0.0277422550795","0.031145343055","0.0245687854872","0.025573470814","0.0310095605","0.01910170973376","0.045761196031372006","0.048300987175247945","0.05591456621997598","0.05653253412783189","0.06325198639085008","0.06309584983626397","0.05856770272347607","0.057138345921296","0.056475640375417926","0.05444561631957195","0.05266362087706206","0.052162300269616095","0.04602069949153798","0.05495550257292798","0.056805568266808014","0.053080053348372","0.05483","0.07019911554518199","0.06453125315","0.05215828","0.03958554","0.0496106","0.05229012","0.0481105","0.04898003"
"INTL.4419-2-ALB-QBTU.A","        Nuclear, renewables, and other (quad Btu)","0.008534689742663656","0.008787191764343323","0.008957802386827918","0.009125000867679386","0.009292199348530853","0.00960270182938232","0.009630004911038718","0.011753893536891913","0.011122635862479881","0.011989302699685896","0.01032169940542079","0.009673513308184615","0.009318623384778745","0.01099392869829277","0.0127443487164666","0.014460645477078485","0.01872927091820229","0.016548905049710884","0.017917102036599325","0.019070408882892253","0.01919655614746587","0.01791349840697722","0.01917252045838585","0.02058532073671567","0.020090622376855282","0.01941503334660751","0.01897824522561643","0.019100766907433113","0.021131048398927925","0.022789484633898415","0.019236221808695685","0.02595839894139115","0.027146200143999332","0.03167458176657046","0.026586973216529516","0.024891375068922333","0.03265053047226788","0.025387968231537057","0.02606718538814327","0.025972881342064054","0.025895444139298684","0.0286245337752644","0.026938292688055296","0.027591407010216357","0.02959401145436498"
"INTL.4417-2-ALB-QBTU.A","            Nuclear (quad Btu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4418-2-ALB-QBTU.A","            Renewables and other (quad Btu)","0.008534689742663656","0.008787191764343323","0.008957802386827918","0.009125000867679386","0.009292199348530853","0.00960270182938232","0.009630004911038718","0.011753893536891913","0.011122635862479881","0.011989302699685896","0.01032169940542079","0.009673513308184615","0.009318623384778745","0.01099392869829277","0.0127443487164666","0.014460645477078485","0.01872927091820229","0.016548905049710884","0.017917102036599325","0.019070408882892253","0.01919655614746587","0.01791349840697722","0.01917252045838585","0.02058532073671567","0.020090622376855282","0.01941503334660751","0.01897824522561643","0.019100766907433113","0.021131048398927925","0.022789484633898415","0.019236221808695685","0.02595839894139115","0.027146200143999332","0.03167458176657046","0.026586973216529516","0.024891375068922333","0.03265053047226788","0.025387968231537057","0.02606718538814327","0.025972881342064054","0.025895444139298684","0.0286245337752644","0.026938292688055296","0.027591407010216357","0.02959401145436498"
"","Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-2-DZA-QBTU.A","    Consumption (quad Btu)","0.7789651534223979","0.6608425315556549","0.9488502728575077","1.0689057079762214","1.1271603380533175","1.0419229721713459","1.0645635986853696","1.1348782864610396","1.2118683190166604","1.1734362272518728","1.2167380720891847","1.351985266346659","1.3004523710675828","1.1947831861913085","1.2320210410492025","1.2880229826265757","1.2627395606929552","1.203229616094163","1.2493541736477778","1.2447268392325284","1.2737811000229822","1.2751082233064346","1.3070759553379996","1.3213626104644765","1.2937721417883055","1.486850023964314","1.5582834536142962","1.5482965397113821","1.6756163938180952","1.7822019809021974","1.7766686238911609","1.9348566258286573","2.094443196628952","2.0355805067511548","2.298357873308627","2.3508421246666837","2.3340511660822623","2.3623006706909226","2.5018517925351045","2.612398680702486","2.471263200415739","2.651663904609649","2.768345569973755","2.836326700438457","2.887964928756299"
"INTL.4411-2-DZA-QBTU.A","        Coal (quad Btu)","0.0025473980424690033","0.007655064470875166","0.020475800605753863","0.03321382392874011","0.03423572313878258","0.03424213176739014","0.034610210701987144","0.035079318419173874","0.03559990774375128","0.03608188568764816","0.03357205507090017","0.031062224454152184","0.02879372989294415","0.022609952034421812","0.0230486401245533","0.013759894437390835","0.014334635692372302","0.015455785974182614","0.017403198878388797","0.017394738350332926","0.016194828745719557","0.015033806089122739","0.008672037882191936","0.010163583658412866","0.010488812111000351","0.010358057343138027","0.00685784480284846","0.007011925594248236","0.0071719145526483565","0.00456791240735962","0.000046554578705383786","0.000054955601161265284","0.0004334178297892882","0.0012596214769158304","0.0008353278614203434","0.0005769222932545153","0.0005752187520015624","0.000924225066126768","0.00041041788252525746","0.0004054356405179378","0.0006584371102343829","0.0009410900745231739","0.0004984314084402423","0.00006837127535339659","0.0001902797842421964"
"INTL.4413-2-DZA-QBTU.A","        Natural gas (quad Btu)","0.5428","0.40828","0.65254","0.77408","0.8024","0.68912","0.71036","0.77408","0.84016","0.7788","0.80358","0.9145","0.8614","0.77300974","0.8146838","0.8755246","0.8588841079","0.8023681008","0.82983010425","0.84813810655","0.8182881028","0.8135121022","0.81231810205","0.8166961026","0.7673440964","0.953807119825","1.018880128","0.99225735021","1.03793786775","1.07848026468","1.0808805546","1.2331489464","1.34431237332","1.23569925444","1.46661464565","1.48596698313","1.4914801022058","1.5479989487856","1.680556894794","1.735381191978","1.676693579868","1.83628378836","1.920932669088","1.961074738746","1.993318946982"
"INTL.4415-2-DZA-QBTU.A","        Petroleum and other liquids (quad Btu)","0.23274083625491324","0.2436142678135874","0.2743058291176511","0.2608782710469624","0.2885216978318409","0.3165067259003871","0.318808593","0.3242142065","0.3353913468","0.357827385","0.379428085","0.407682005","0.41277114","0.40205261","0.397562745","0.3990229275","0.3886047456","0.384324268","0.400556475","0.378129342","0.43818810006799397","0.44413404949043617","0.48359572498640585","0.4918234071532441","0.5134050221353977","0.5180272030310763","0.528632034194927","0.54412093554","0.6254781938606531","0.6918022624736029","0.6857830477296001","0.688148656","0.7359474201479452","0.7902320239999999","0.8240798439999999","0.859255","0.838878","0.80475497886","0.81036911186","0.8642612","0.78490192","0.80615825","0.84877352","0.87395676","0.89463257"
"INTL.4419-2-DZA-QBTU.A","        Nuclear, renewables, and other (quad Btu)","0.0008769191250157291","0.0012931992711923143","0.0015286431341026436","0.00073361300051881","0.002002917082694017","0.0020541145035687536","0.0007847949833826012","0.0015047615418658186","0.000717064472909141","0.0007269565642246002","0.0001579320182845439","-0.0012589631074931553","-0.0025124988253613575","-0.002889115843113214","-0.0032741440753508346","-0.00028443931081520955","0.0009160715005829293","0.001081461319980361","0.0015643955193890336","0.0010646523321953877","0.001110068409268773","0.0024282655268755946","0.0024900904194018122","0.002679517052819467","0.002534211141907262","0.004657643765099714","0.0039134466165207295","0.004906328367134058","0.005028417654793882","0.007351541341235033","0.009958466982855393","0.013504067827496035","0.013749985331217508","0.008389606834239222","0.00682805579720662","0.00504321924342914","0.0031178451244608203","0.0086225179791958","0.010515367998579267","0.012350853083968315","0.009009263437504732","0.008280776175125872","-0.0018590505226854025","0.0012268304171038804","-0.00017686800994282318"
"INTL.4417-2-DZA-QBTU.A","            Nuclear (quad Btu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
